ticker,company,industry,sub_industry,headquarter,url
SWK,Stanley Black & Decker,Industrials,Industrial Machinery,"New Britain, Connecticut",https://www.nyse.com/quote/XNYS:SWK
SBUX,Starbucks Corp.,Consumer Discretionary,Restaurants,"Seattle, Washington",http://www.nasdaq.com/symbol/sbux
STT,State Street Corp.,Financials,Asset Management & Custody Banks,"Boston, Massachusetts",https://www.nyse.com/quote/XNYS:STT
STE,STERIS plc,Health Care,Health Care Equipment,"Dublin, Ireland",https://www.nyse.com/quote/XNYS:STE
SYK,Stryker Corp.,Health Care,Health Care Equipment,"Kalamazoo, Michigan",https://www.nyse.com/quote/XNYS:SYK
SIVB,SVB Financial,Financials,Regional Banks,"Santa Clara, California",http://www.nasdaq.com/symbol/sivb
SYF,Synchrony Financial,Financials,Consumer Finance,"Stamford, Connecticut",https://www.nyse.com/quote/XNYS:SYF
SNPS,Synopsys Inc.,Information Technology,Application Software,"Mountain View, California",http://www.nasdaq.com/symbol/snps
SYY,Sysco Corp.,Consumer Staples,Food Distributors,"Houston, Texas",https://www.nyse.com/quote/XNYS:SYY
TMUS,T-Mobile US,Communication Services,Wireless Telecommunication Services,"Bellevue, Washington",http://www.nasdaq.com/symbol/tmus
TROW,T. Rowe Price Group,Financials,Asset Management & Custody Banks,"Baltimore, Maryland",http://www.nasdaq.com/symbol/trow
TTWO,Take-Two Interactive,Communication Services,Interactive Home Entertainment,"New York, New York",http://www.nasdaq.com/symbol/ttwo
TPR,"Tapestry, Inc.",Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",https://www.nyse.com/quote/XNYS:TPR
TGT,Target Corp.,Consumer Discretionary,General Merchandise Stores,"Minneapolis, Minnesota",https://www.nyse.com/quote/XNYS:TGT
TEL,TE Connectivity Ltd.,Information Technology,Electronic Manufacturing Services,"Schaffhausen, Switzerland",https://www.nyse.com/quote/XNYS:TEL
FTI,TechnipFMC,Energy,Oil & Gas Equipment & Services,"London, United Kingdom",https://www.nyse.com/quote/XNYS:FTI
TFX,Teleflex,Health Care,Health Care Equipment,"Wayne, Pennsylvania",https://www.nyse.com/quote/XNYS:TFX
TXN,Texas Instruments,Information Technology,Semiconductors,"Dallas, Texas",http://www.nasdaq.com/symbol/txn
TXT,Textron Inc.,Industrials,Aerospace & Defense,"Providence, Rhode Island",https://www.nyse.com/quote/XNYS:TXT
TMO,Thermo Fisher Scientific,Health Care,Life Sciences Tools & Services,"Waltham, Massachusetts",https://www.nyse.com/quote/XNYS:TMO
TIF,Tiffany & Co.,Consumer Discretionary,"Apparel, Accessories & Luxury Goods","New York, New York",https://www.nyse.com/quote/XNYS:TIF
TJX,TJX Companies Inc.,Consumer Discretionary,Apparel Retail,"Framingham, Massachusetts",https://www.nyse.com/quote/XNYS:TJX
